Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.2359,0.9329,0.0740,0.9770,72.91,0.0001,
2,0.0752,0.9772,0.0981,0.9687,74.52,0.0001,
3,0.0480,0.9858,0.0432,0.9863,74.28,0.0001,
4,0.0416,0.9869,0.0803,0.9722,73.54,0.0001,
5,0.0273,0.9918,0.0489,0.9843,74.50,0.0001,
6,0.0277,0.9919,0.0600,0.9811,76.47,0.0001,
7,0.0186,0.9946,0.0553,0.9830,74.65,0.0001,
8,0.0287,0.9915,0.0694,0.9783,73.63,0.0001,
9,0.0226,0.9928,0.0618,0.9806,74.06,0.0001,
10,0.0160,0.9952,0.0701,0.9804,74.43,0.0001,
11,0.0132,0.9965,0.0443,0.9874,75.21,0.0001,
12,0.0131,0.9961,0.0621,0.9802,76.42,0.0001,
13,0.0176,0.9947,0.1903,0.9454,74.94,0.0001,
14,0.0201,0.9940,0.0403,0.9874,80.19,0.0001,
15,0.0106,0.9972,0.0429,0.9863,75.01,0.0001,
16,0.0084,0.9975,0.0853,0.9744,77.49,0.0001,
17,0.0208,0.9936,0.0576,0.9831,75.12,0.0001,
18,0.0114,0.9972,0.0630,0.9822,77.87,0.0001,
19,0.0122,0.9964,0.0403,0.9881,74.12,0.0001,
20,0.0122,0.9968,0.0456,0.9867,74.73,0.0001,
21,0.0038,0.9993,0.0395,0.9883,77.83,1e-05,
22,0.0029,0.9998,0.0378,0.9902,78.72,1e-05,
23,0.0016,0.9999,0.0398,0.9904,76.81,1e-05,
24,0.0015,0.9998,0.0384,0.9900,75.13,1e-05,
25,0.0011,0.9999,0.0386,0.9906,75.64,1e-05,
26,0.0009,1.0000,0.0361,0.9911,74.94,1e-05,
27,0.0007,1.0000,0.0381,0.9900,79.45,1e-05,
28,0.0007,0.9999,0.0400,0.9907,80.92,1e-05,
29,0.0009,0.9998,0.0401,0.9893,74.54,1e-05,
30,0.0006,0.9999,0.0390,0.9898,74.40,1e-05,
