Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,1.0459,0.6333,0.6889,0.7620,31.81,0.001,
2,0.7209,0.7502,0.9298,0.6930,32.50,0.001,
3,0.6077,0.7891,1.0365,0.6670,31.33,0.001,
4,0.5218,0.8188,0.8367,0.7361,33.40,0.001,
5,0.4275,0.8543,1.7445,0.6422,30.98,0.001,
6,0.3954,0.8607,1.7000,0.7196,31.07,0.001,
7,0.3303,0.8834,0.3894,0.8746,32.49,0.001,
8,0.3000,0.8973,0.2787,0.9013,33.84,0.001,
9,0.2781,0.9037,0.2896,0.8991,31.50,0.001,
10,0.2600,0.9104,1.2735,0.7381,34.03,0.001,
11,0.2332,0.9196,2.0419,0.6157,33.13,0.001,
12,0.2201,0.9232,1.2048,0.7643,31.44,0.001,
13,0.2054,0.9267,0.4357,0.8576,33.77,0.001,
14,0.1961,0.9323,0.2842,0.8996,31.06,0.001,
15,0.1852,0.9376,0.2296,0.9233,33.67,0.001,
16,0.1747,0.9391,1.9655,0.7439,33.24,0.001,
17,0.1791,0.9364,0.3087,0.9035,31.44,0.001,
18,0.1502,0.9481,0.2371,0.9217,30.86,0.001,
19,0.1557,0.9433,0.1995,0.9367,31.26,0.001,
20,0.1409,0.9517,0.3481,0.8669,32.16,0.001,
21,0.0727,0.9762,0.1070,0.9648,35.55,0.0001,
22,0.0554,0.9824,0.1063,0.9659,32.51,0.0001,
23,0.0466,0.9864,0.1000,0.9674,31.36,0.0001,
24,0.0427,0.9878,0.1040,0.9667,33.86,0.0001,
25,0.0342,0.9904,0.1040,0.9656,31.54,0.0001,
26,0.0337,0.9902,0.1069,0.9657,31.78,0.0001,
27,0.0297,0.9917,0.1126,0.9652,31.47,0.0001,
28,0.0304,0.9902,0.1046,0.9678,33.67,0.0001,
29,0.0247,0.9935,0.1229,0.9607,33.76,0.0001,
30,0.0233,0.9931,0.1167,0.9641,32.47,0.0001,
31,0.0210,0.9946,0.1142,0.9654,31.37,0.0001,
32,0.0185,0.9951,0.1222,0.9644,31.18,0.0001,
33,0.0165,0.9956,0.1291,0.9624,31.40,0.0001,
34,0.0171,0.9956,0.1181,0.9654,31.13,0.0001,
35,0.0170,0.9952,0.1317,0.9626,30.81,0.0001,
36,0.0149,0.9963,0.1403,0.9593,32.23,0.0001,
37,0.0136,0.9963,0.1276,0.9631,30.95,0.0001,
38,0.0133,0.9969,0.1360,0.9624,30.85,0.0001,
39,0.0130,0.9966,0.1867,0.9428,31.62,0.0001,
40,0.0121,0.9972,0.1324,0.9622,31.27,0.0001,
41,0.0068,0.9993,0.1250,0.9641,33.47,1e-05,
42,0.0074,0.9988,0.1191,0.9635,32.26,1e-05,
43,0.0081,0.9981,0.1266,0.9644,34.02,1e-05,
44,0.0068,0.9988,0.1230,0.9644,33.46,1e-05,
45,0.0069,0.9986,0.1239,0.9641,33.17,1e-05,
46,0.0070,0.9987,0.1265,0.9661,33.05,1e-05,
47,0.0059,0.9990,0.1226,0.9654,31.47,1e-05,
48,0.0054,0.9991,0.1231,0.9659,31.80,1e-05,
49,0.0066,0.9988,0.1262,0.9648,31.55,1e-05,
50,0.0061,0.9990,0.1274,0.9663,30.82,1e-05,
51,0.0060,0.9991,0.1276,0.9648,34.38,1e-05,
52,0.0054,0.9989,0.1261,0.9657,33.60,1e-05,
53,0.0062,0.9989,0.1267,0.9654,33.94,1e-05,
54,0.0060,0.9992,0.1234,0.9646,33.56,1e-05,
55,0.0056,0.9990,0.1254,0.9648,33.55,1e-05,
56,0.0062,0.9991,0.1289,0.9646,32.08,1e-05,
57,0.0043,0.9994,0.1309,0.9626,31.60,1e-05,
58,0.0047,0.9994,0.1277,0.9639,31.02,1e-05,
59,0.0055,0.9991,0.1282,0.9648,31.36,1e-05,
60,0.0046,0.9995,0.1296,0.9657,31.63,1e-05,
61,0.0054,0.9992,0.1286,0.9639,31.39,1.0000000000000002e-06,
62,0.0041,0.9996,0.1266,0.9652,31.48,1.0000000000000002e-06,
63,0.0043,0.9996,0.1320,0.9648,31.41,1.0000000000000002e-06,
64,0.0048,0.9992,0.1233,0.9643,30.96,1.0000000000000002e-06,
65,0.0047,0.9994,0.1297,0.9648,31.27,1.0000000000000002e-06,
66,0.0040,0.9996,0.1229,0.9657,33.15,1.0000000000000002e-06,
67,0.0045,0.9994,0.1220,0.9672,33.93,1.0000000000000002e-06,
68,0.0046,0.9993,0.1248,0.9661,34.80,1.0000000000000002e-06,
69,0.0048,0.9993,0.1263,0.9648,35.11,1.0000000000000002e-06,
70,0.0050,0.9988,0.1318,0.9650,34.02,1.0000000000000002e-06,
71,0.0048,0.9992,0.1267,0.9654,34.93,1.0000000000000002e-06,
72,0.0049,0.9992,0.1258,0.9656,34.37,1.0000000000000002e-06,
73,0.0043,0.9995,0.1226,0.9646,33.83,1.0000000000000002e-06,
74,0.0046,0.9994,0.1300,0.9646,34.03,1.0000000000000002e-06,
75,0.0048,0.9994,0.1268,0.9652,33.63,1.0000000000000002e-06,
