Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.3434,0.9084,0.0859,0.9735,36.51,0.0001,
2,0.1034,0.9686,0.0784,0.9750,37.14,0.0001,
3,0.0635,0.9812,0.0728,0.9780,36.98,0.0001,
4,0.0468,0.9859,0.0648,0.9819,38.88,0.0001,
5,0.0311,0.9913,0.0539,0.9815,37.42,0.0001,
6,0.0283,0.9911,0.0707,0.9811,37.34,0.0001,
7,0.0252,0.9931,0.0693,0.9791,37.41,0.0001,
8,0.0195,0.9948,0.0688,0.9798,36.74,0.0001,
9,0.0252,0.9914,0.0810,0.9746,36.89,0.0001,
10,0.0166,0.9953,0.0532,0.9831,36.70,0.0001,
11,0.0149,0.9954,0.0548,0.9839,37.76,0.0001,
12,0.0140,0.9963,0.0680,0.9820,38.33,0.0001,
13,0.0215,0.9937,0.0666,0.9822,38.16,0.0001,
14,0.0148,0.9955,0.0771,0.9774,36.83,0.0001,
15,0.0171,0.9942,0.0762,0.9794,38.10,0.0001,
16,0.0144,0.9959,0.1233,0.9646,36.80,0.0001,
17,0.0148,0.9951,0.0598,0.9819,37.77,0.0001,
18,0.0123,0.9962,0.0643,0.9820,38.45,0.0001,
19,0.0119,0.9967,0.0750,0.9794,37.88,0.0001,
20,0.0145,0.9962,0.0759,0.9796,40.23,0.0001,
21,0.0050,0.9988,0.0609,0.9833,37.12,1e-05,
22,0.0031,0.9994,0.0507,0.9841,36.47,1e-05,
23,0.0021,0.9995,0.0488,0.9874,36.75,1e-05,
24,0.0020,0.9995,0.0493,0.9857,36.97,1e-05,
25,0.0010,0.9999,0.0490,0.9856,36.60,1e-05,
26,0.0015,0.9998,0.0505,0.9861,36.77,1e-05,
27,0.0011,0.9999,0.0462,0.9881,36.95,1e-05,
28,0.0008,1.0000,0.0473,0.9885,36.64,1e-05,
29,0.0007,1.0000,0.0502,0.9863,36.68,1e-05,
30,0.0009,0.9999,0.0482,0.9885,38.88,1e-05,
