Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.9573,0.6703,5.5869,0.3837,89.59,0.001,
2,0.6304,0.7793,0.7768,0.7594,89.44,0.001,
3,0.4496,0.8475,0.4675,0.8424,89.56,0.001,
4,0.3577,0.8800,0.3880,0.8772,89.99,0.001,
5,0.2901,0.9028,0.2795,0.9111,89.45,0.001,
6,0.2620,0.9119,0.2414,0.9228,90.43,0.001,
7,0.2315,0.9220,0.2939,0.8978,89.23,0.001,
8,0.2160,0.9270,0.1779,0.9376,89.48,0.001,
9,0.1976,0.9322,0.1553,0.9457,89.67,0.001,
10,0.1694,0.9423,0.2042,0.9313,89.27,0.001,
11,0.1682,0.9417,0.1820,0.9370,90.56,0.001,
12,0.1542,0.9469,0.1610,0.9459,88.84,0.001,
13,0.1389,0.9527,0.1334,0.9548,89.70,0.001,
14,0.1321,0.9546,0.1010,0.9680,89.26,0.001,
15,0.1346,0.9526,0.1852,0.9424,90.00,0.001,
16,0.1271,0.9580,0.1322,0.9556,88.82,0.001,
17,0.1237,0.9579,0.1596,0.9443,89.37,0.001,
18,0.1093,0.9633,0.1216,0.9593,89.17,0.001,
19,0.1033,0.9640,0.1055,0.9646,89.59,0.001,
20,0.0980,0.9664,0.1464,0.9504,90.68,0.001,
21,0.0566,0.9816,0.0657,0.9772,91.97,0.0001,
22,0.0420,0.9866,0.0577,0.9820,91.59,0.0001,
23,0.0369,0.9880,0.0583,0.9798,91.09,0.0001,
24,0.0342,0.9894,0.0557,0.9813,90.76,0.0001,
25,0.0305,0.9908,0.0553,0.9811,90.59,0.0001,
26,0.0293,0.9914,0.0546,0.9811,90.77,0.0001,
27,0.0260,0.9922,0.0514,0.9828,90.82,0.0001,
28,0.0241,0.9931,0.0529,0.9817,91.82,0.0001,
29,0.0214,0.9941,0.0564,0.9807,93.64,0.0001,
30,0.0203,0.9940,0.0530,0.9831,90.86,0.0001,
31,0.0174,0.9956,0.0552,0.9815,91.01,0.0001,
32,0.0190,0.9945,0.0569,0.9807,90.58,0.0001,
33,0.0162,0.9960,0.0581,0.9802,90.89,0.0001,
34,0.0151,0.9962,0.0626,0.9783,90.27,0.0001,
35,0.0143,0.9968,0.0617,0.9791,90.55,0.0001,
36,0.0139,0.9963,0.0597,0.9809,91.09,0.0001,
37,0.0128,0.9973,0.0625,0.9802,90.57,0.0001,
38,0.0127,0.9964,0.0582,0.9820,91.52,0.0001,
39,0.0110,0.9975,0.0639,0.9787,90.31,0.0001,
40,0.0122,0.9965,0.0715,0.9789,88.90,0.0001,
41,0.0087,0.9984,0.0611,0.9806,90.01,1e-05,
42,0.0077,0.9989,0.0609,0.9806,88.98,1e-05,
43,0.0068,0.9989,0.0597,0.9806,89.33,1e-05,
44,0.0068,0.9988,0.0619,0.9809,89.39,1e-05,
45,0.0061,0.9993,0.0576,0.9813,88.85,1e-05,
46,0.0059,0.9991,0.0587,0.9820,89.36,1e-05,
47,0.0063,0.9990,0.0585,0.9826,89.50,1e-05,
48,0.0056,0.9991,0.0631,0.9817,88.85,1e-05,
49,0.0060,0.9993,0.0609,0.9813,89.13,1e-05,
50,0.0056,0.9995,0.0597,0.9806,89.27,1e-05,
51,0.0060,0.9993,0.0602,0.9819,89.94,1e-05,
52,0.0056,0.9993,0.0589,0.9822,88.71,1e-05,
53,0.0056,0.9995,0.0591,0.9828,89.41,1e-05,
54,0.0059,0.9990,0.0622,0.9806,89.37,1e-05,
55,0.0053,0.9994,0.0612,0.9811,89.34,1e-05,
56,0.0051,0.9993,0.0625,0.9806,89.35,1e-05,
57,0.0048,0.9994,0.0576,0.9824,89.32,1e-05,
58,0.0050,0.9993,0.0602,0.9815,89.21,1e-05,
59,0.0046,0.9996,0.0603,0.9831,89.04,1e-05,
60,0.0048,0.9995,0.0607,0.9807,89.42,1e-05,
61,0.0048,0.9993,0.0609,0.9809,89.92,1.0000000000000002e-06,
62,0.0045,0.9996,0.0582,0.9815,89.42,1.0000000000000002e-06,
63,0.0043,0.9998,0.0592,0.9815,88.90,1.0000000000000002e-06,
64,0.0048,0.9994,0.0578,0.9820,89.97,1.0000000000000002e-06,
65,0.0043,0.9996,0.0592,0.9826,89.60,1.0000000000000002e-06,
66,0.0044,0.9996,0.0596,0.9809,88.61,1.0000000000000002e-06,
67,0.0044,0.9996,0.0608,0.9831,89.84,1.0000000000000002e-06,
68,0.0041,0.9996,0.0577,0.9806,88.89,1.0000000000000002e-06,
69,0.0045,0.9993,0.0603,0.9811,89.08,1.0000000000000002e-06,
70,0.0038,0.9998,0.0582,0.9819,89.35,1.0000000000000002e-06,
71,0.0042,0.9998,0.0575,0.9820,89.48,1.0000000000000002e-06,
72,0.0044,0.9996,0.0606,0.9813,89.41,1.0000000000000002e-06,
73,0.0043,0.9998,0.0592,0.9819,89.37,1.0000000000000002e-06,
74,0.0040,0.9998,0.0580,0.9824,89.63,1.0000000000000002e-06,
75,0.0043,0.9997,0.0600,0.9811,89.39,1.0000000000000002e-06,
