Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.9844,0.6575,0.9439,0.6759,81.78,0.001,
2,0.6452,0.7764,0.5809,0.7907,80.70,0.001,
3,0.4531,0.8426,0.4673,0.8317,80.52,0.001,
4,0.3483,0.8812,0.2987,0.9035,80.23,0.001,
5,0.3040,0.8947,0.4397,0.8437,80.46,0.001,
6,0.2550,0.9149,0.4465,0.8407,80.13,0.001,
7,0.2279,0.9198,0.6230,0.8180,80.18,0.001,
8,0.1979,0.9316,0.1855,0.9324,80.50,0.001,
9,0.2002,0.9307,0.1501,0.9461,80.56,0.001,
10,0.1703,0.9417,0.1667,0.9450,81.02,0.001,
11,0.1743,0.9397,0.1511,0.9496,80.20,0.001,
12,0.1416,0.9503,0.1957,0.9293,80.30,0.001,
13,0.1470,0.9505,0.2028,0.9254,80.23,0.001,
14,0.1325,0.9535,0.1181,0.9609,80.25,0.001,
15,0.1230,0.9584,0.1055,0.9663,80.11,0.001,
16,0.1250,0.9571,0.1149,0.9596,80.11,0.001,
17,0.1197,0.9597,0.1154,0.9593,80.16,0.001,
18,0.1144,0.9601,0.1468,0.9469,80.11,0.001,
19,0.1074,0.9625,0.1153,0.9609,80.19,0.001,
20,0.0982,0.9657,0.1071,0.9624,80.16,0.001,
21,0.0497,0.9852,0.0613,0.9791,80.75,0.0001,
22,0.0382,0.9885,0.0614,0.9800,80.63,0.0001,
23,0.0334,0.9896,0.0597,0.9793,79.20,0.0001,
24,0.0301,0.9909,0.0607,0.9791,79.30,0.0001,
25,0.0269,0.9927,0.0645,0.9794,79.24,0.0001,
26,0.0258,0.9927,0.0620,0.9789,79.38,0.0001,
27,0.0212,0.9948,0.0654,0.9772,79.72,0.0001,
28,0.0211,0.9943,0.0612,0.9787,79.22,0.0001,
29,0.0185,0.9957,0.0683,0.9765,79.09,0.0001,
30,0.0179,0.9951,0.0645,0.9793,79.15,0.0001,
31,0.0182,0.9954,0.0671,0.9767,79.25,0.0001,
32,0.0148,0.9967,0.0672,0.9783,79.16,0.0001,
33,0.0147,0.9960,0.0703,0.9780,79.37,0.0001,
34,0.0134,0.9971,0.0664,0.9780,79.19,0.0001,
35,0.0104,0.9981,0.0697,0.9752,79.07,0.0001,
36,0.0117,0.9977,0.0651,0.9781,79.33,0.0001,
37,0.0113,0.9973,0.0666,0.9813,79.23,0.0001,
38,0.0110,0.9975,0.0717,0.9780,80.42,0.0001,
39,0.0105,0.9978,0.0734,0.9757,80.60,0.0001,
40,0.0088,0.9986,0.0692,0.9772,80.15,0.0001,
41,0.0073,0.9984,0.0691,0.9769,80.29,1e-05,
42,0.0056,0.9993,0.0655,0.9787,80.26,1e-05,
43,0.0051,0.9994,0.0669,0.9785,80.16,1e-05,
44,0.0051,0.9993,0.0688,0.9776,80.07,1e-05,
45,0.0051,0.9996,0.0663,0.9794,80.26,1e-05,
46,0.0054,0.9994,0.0652,0.9798,80.14,1e-05,
47,0.0054,0.9990,0.0649,0.9794,80.09,1e-05,
48,0.0051,0.9995,0.0660,0.9787,80.23,1e-05,
49,0.0055,0.9991,0.0690,0.9794,80.16,1e-05,
50,0.0044,0.9994,0.0676,0.9785,79.70,1e-05,
51,0.0050,0.9994,0.0698,0.9785,79.11,1e-05,
52,0.0042,0.9997,0.0724,0.9772,78.93,1e-05,
53,0.0048,0.9993,0.0671,0.9785,79.13,1e-05,
54,0.0050,0.9993,0.0663,0.9787,79.17,1e-05,
55,0.0043,0.9998,0.0693,0.9770,79.20,1e-05,
56,0.0043,0.9997,0.0659,0.9791,79.10,1e-05,
57,0.0047,0.9994,0.0684,0.9787,79.18,1e-05,
58,0.0042,0.9995,0.0662,0.9794,79.64,1e-05,
59,0.0052,0.9991,0.0666,0.9798,79.34,1e-05,
60,0.0039,0.9997,0.0667,0.9785,79.14,1e-05,
61,0.0039,0.9997,0.0663,0.9783,79.09,1.0000000000000002e-06,
62,0.0043,0.9994,0.0664,0.9789,79.21,1.0000000000000002e-06,
63,0.0043,0.9994,0.0673,0.9789,79.14,1.0000000000000002e-06,
64,0.0039,0.9996,0.0671,0.9800,79.23,1.0000000000000002e-06,
65,0.0038,0.9997,0.0673,0.9791,79.50,1.0000000000000002e-06,
66,0.0039,0.9998,0.0696,0.9791,79.36,1.0000000000000002e-06,
67,0.0036,0.9998,0.0675,0.9785,79.16,1.0000000000000002e-06,
68,0.0039,0.9998,0.0660,0.9794,79.35,1.0000000000000002e-06,
69,0.0039,0.9996,0.0670,0.9780,79.14,1.0000000000000002e-06,
70,0.0036,0.9997,0.0678,0.9791,79.34,1.0000000000000002e-06,
71,0.0039,0.9996,0.0677,0.9798,79.09,1.0000000000000002e-06,
72,0.0045,0.9994,0.0673,0.9789,79.79,1.0000000000000002e-06,
73,0.0035,0.9999,0.0687,0.9791,79.52,1.0000000000000002e-06,
74,0.0038,0.9998,0.0664,0.9793,79.10,1.0000000000000002e-06,
75,0.0042,0.9994,0.0676,0.9807,79.22,1.0000000000000002e-06,
