Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.3324,0.9070,0.0975,0.9656,69.68,0.0001,
2,0.0866,0.9712,0.0706,0.9757,70.03,0.0001,
3,0.0579,0.9815,0.0600,0.9809,70.04,0.0001,
4,0.0371,0.9881,0.0729,0.9761,69.07,0.0001,
5,0.0346,0.9884,0.0649,0.9787,70.04,0.0001,
6,0.0237,0.9930,0.0792,0.9780,68.62,0.0001,
7,0.0180,0.9943,0.0652,0.9802,69.43,0.0001,
8,0.0233,0.9931,0.0760,0.9769,71.40,0.0001,
9,0.0217,0.9927,0.0719,0.9776,73.02,0.0001,
10,0.0170,0.9946,0.0747,0.9804,75.18,0.0001,
11,0.0215,0.9937,0.0763,0.9780,72.72,0.0001,
12,0.0166,0.9951,0.0719,0.9794,77.34,0.0001,
13,0.0137,0.9960,0.0594,0.9822,76.75,0.0001,
14,0.0184,0.9944,0.0770,0.9793,76.95,0.0001,
15,0.0199,0.9941,0.0671,0.9800,76.83,0.0001,
16,0.0104,0.9968,0.0819,0.9783,74.98,0.0001,
17,0.0143,0.9964,0.0556,0.9837,73.40,0.0001,
18,0.0132,0.9962,0.0615,0.9837,72.73,0.0001,
19,0.0106,0.9970,0.0631,0.9822,70.17,0.0001,
20,0.0164,0.9944,0.1101,0.9711,69.15,0.0001,
21,0.0059,0.9983,0.0460,0.9867,72.16,1e-05,
22,0.0023,0.9995,0.0472,0.9881,71.37,1e-05,
23,0.0017,0.9998,0.0436,0.9876,70.73,1e-05,
24,0.0012,0.9998,0.0452,0.9876,71.23,1e-05,
25,0.0012,0.9998,0.0526,0.9874,71.77,1e-05,
26,0.0009,1.0000,0.0475,0.9872,68.30,1e-05,
27,0.0007,0.9999,0.0474,0.9883,68.31,1e-05,
28,0.0009,0.9998,0.0587,0.9878,68.59,1e-05,
29,0.0008,0.9999,0.0523,0.9865,68.04,1e-05,
30,0.0007,0.9999,0.0491,0.9885,68.63,1e-05,
