Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.3418,0.9007,0.0812,0.9755,163.61,0.0001,
2,0.1217,0.9624,0.0760,0.9745,162.56,0.0001,
3,0.0726,0.9800,0.0805,0.9741,163.27,0.0001,
4,0.0594,0.9830,0.0760,0.9704,163.79,0.0001,
5,0.0484,0.9863,0.1144,0.9644,162.93,0.0001,
6,0.0414,0.9876,0.0701,0.9796,164.26,0.0001,
7,0.0331,0.9906,0.0694,0.9810,164.80,0.0001,
8,0.0286,0.9917,0.0852,0.9718,164.08,0.0001,
9,0.0325,0.9896,0.0649,0.9792,163.94,0.0001,
10,0.0284,0.9924,0.0645,0.9769,164.09,0.0001,
11,0.0296,0.9913,0.1036,0.9722,163.92,0.0001,
12,0.0318,0.9900,0.0694,0.9787,164.07,0.0001,
13,0.0189,0.9949,0.0537,0.9856,164.64,0.0001,
14,0.0117,0.9971,0.0655,0.9801,163.35,0.0001,
15,0.0248,0.9916,0.0802,0.9750,163.61,0.0001,
16,0.0217,0.9933,0.0956,0.9713,163.80,0.0001,
